trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2306,False,"{'a': 0.9, 'e': 0.09965909171574303}",20,9,20.80781361831593,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2307,False,"{'a': 0.9, 'e': 0.09955948243696745}",30,20,18.004992453558813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2308,False,"{'a': 0.9, 'e': 0.09945997271768262}",25,5,24.895862223371633,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
2309,False,"{'a': 0.9, 'e': 0.09936056245837875}",20,8,23.264455897409754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2310,False,"{'a': 0.9, 'e': 0.09926125155964566}",25,12,22.729701118886755,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2311,False,"{'a': 0.9, 'e': 0.09916203992217239}",30,15,-24.44465956066526,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
2312,False,"{'a': 0.9, 'e': 0.09906292744674731}",25,19,10.071772595675126,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2313,False,"{'a': 0.9, 'e': 0.0989639140342579}",20,16,8.019006006522522,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2314,False,"{'a': 0.9, 'e': 0.09886499958569081}",25,14,-12.186407975580824,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
2315,False,"{'a': 0.9, 'e': 0.09876618400213154}",25,7,17.12818069893876,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2316,False,"{'a': 0.9, 'e': 0.0986674671847645}",20,14,11.605835114715084,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2317,False,"{'a': 0.9, 'e': 0.09856884903487283}",25,16,20.160975343785832,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2318,False,"{'a': 0.9, 'e': 0.09847032945383845}",30,19,21.910393417726976,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
